Data from Macia et al. (2009) Figure 1A												
Hog1-PP time series for the wild type (W303) for different salt shock conditions												
SD: standard deviation												
All Hog1 phosphorylation data are scaled to the wild type at 10 min after 0.4M NaCl shock												
time [min]	0.07M NaCl	SD	0.1M NaCl	SD	0.2M NaCl	SD	0.4M NaCl	SD	0.6M NaCl	SD	0.8M NaCl	SD
0	3.042125758	2.639241326	3.050849886	3.524951035	1.019804687	0.978087703	5.146242482	0.49783008	0.929137878	1.071219264	2.070609537	1.845337365
1	26.01000687	6.99046966	42.64993439	8.85395435	57.83144451	0.3818025	86.46674407	83.81488788	77.16105514	7.38532135	53.4694093	1.26026684
2	40.84403545	7.94688749	60.48676459	10.9926622	86.55976568	9.03129011	85.03168776	78.17052281	87.650379	1.4914781	78.45755936	8.96275864
5	21.72454554	6.64181433	39.90953284	13.11720112	86.06473517	11.08693988	92.3164743	91.34149483	94.66174666	3.29958411	100.5366272	1.64837925
10	13.90761589	9.050702013	22.89294282	11.03497631	63.1226373	12.55401298	100	100	104.1654964	10.66902108	99.95160268	0.94542558
20	12.85575722	7.411479858	14.56485216	8.045046138	23.34566088	7.92072223	86.0686725	76.55180439	97.72380929	12.15053876	99.88939449	7.51502168
30	13.14804802	4.876207856	13.61403845	1.62937298	14.82133643	3.55981418	43.54724386	31.69892943	97.42035084	6.41808903	97.4962888	1.99631503
40	7.199511093	7.108059239	12.07807085	1.87069178	13.29703758	3.848330626	24.12790652	17.54046055	95.51804553	1.62984968	96.5002422	6.39433677
50	7.4188839	6.130791622	9.958021733	2.378712395	14.95891525	3.11474101	17.04891019	8.659631709	66.89828322	11.87798514	95.32990908	2.15190809
60	7.883662377	4.38476693	9.795691322	2.653943146	12.83763812	1.370666	14.92229969	9.848013325	32.85020737	12.60196572	93.68136705	2.21837048
80	5.526940316	2.804066671	7.835357577	2.924357722	9.314161285	2.5664931	10.35157418	6.774076517	15.35830621	1.59428037	73.36219621	8.06977308
100	6.951453129	3.713455871	7.434581923	2.981400307	12.84845257	3.142375574	14.94055141	9.361430543	16.47938337	11.3504809	33.0260637	5.98414838
120	7.656994168	2.309873501	7.012988365	6.294247619	13.04454447	4.168421376	14.68985026	13.37005454	14.39394801	5.765024182	20.1606381	1.27510155
