time_2	Response_wt_2	time_4	Response_wt_4	time_8	Response_wt_8	time_16	Response_wt_16	time_32	Response_wt_32	time_64	Response_wt_64
0	1.30508	0	1.26586	0	1.28769	0	1.27479	0	1.26809	0	1.20189
0.515721	1.36981	0.473965	1.30383	0.714286	1.3914	1.875	1.58824	1.14068	1.57636	1.6158	1.54583
0.978074	1.47992	1.05919	1.45985	1.90476	1.59376	4.21875	1.55546	3.42205	1.48558	5.9246	1.49575
1.50727	1.51523	1.44259	1.599	2.5	1.60894	5.625	1.46555	5.70342	1.35697	7.54039	1.41354
2.04077	1.4766	2.05644	1.60577	3.92857	1.57184	7.5	1.38403	7.41445	1.30118	8.61759	1.29543
2.54057	1.47998	2.63777	1.51474	4.7619	1.4226	9.53125	1.23445	9.41065	1.28605	10.2334	1.2548
3.16542	1.48253	3.37484	1.4136	5.83333	1.29022	12.0313	1.22605	11.4068	1.2539	14.0036	1.24157
3.60546	1.43885	3.85268	1.32762	6.54762	1.25565	13.9063	1.23277	13.403	1.23783	21.0054	1.22929
4.13778	1.42039	4.56743	1.34283	7.97619	1.26492	15.625	1.23866	15.9696	1.22648	22.0826	1.24063
4.73202	1.41201	5.22704	1.37828	8.80952	1.27504	17.6563	1.42773	17.6806	1.21986	23.6984	1.25764
5.1701	1.40194	5.87193	1.49045	9.64286	1.3602	20	1.47311	18.8213	1.23026	25.3142	1.2652
5.64007	1.38095	6.33942	1.45844	10.5952	1.43524	21.7188	1.39664	21.3878	1.24634	29.623	1.25008
6.14154	1.35576	6.96992	1.37837	11.9048	1.41079	24.0625	1.30756	22.8137	1.23026	31.2388	1.23307
6.89158	1.35496	7.44098	1.3278	12.7381	1.30034	25.7813	1.23193	24.8099	1.22553	35.5476	1.21701
7.36111	1.34153	8.00695	1.31687	13.6905	1.2312	27.6563	1.24118	27.6616	1.22553	37.702	1.23591
7.92542	1.31046	8.52345	1.29666	14.881	1.23204	29.8438	1.23193	28.2319	1.23404	39.3178	1.25197
8.51868	1.31889	8.93241	1.30258	15.9524	1.23879	32.1875	1.23613	29.0875	1.24539	41.4722	1.26047
9.01897	1.31387	9.337	1.33127	16.7857	1.27757	33.9063	1.49328	31.9392	1.2331	44.1652	1.26614
9.48831	1.3038	9.79447	1.35153	17.8571	1.36948	37.5	1.36218	33.6502	1.49787	48.474	1.2548
10.0208	1.28282	10.3583	1.35156	18.5714	1.41079	39.6875	1.27983	35.3612	1.45343	53.3214	1.24063
10.4568	1.30889	10.7831	1.27486	19.881	1.41754	41.875	1.21345	37.9278	1.38534	54.9372	1.26803
