AK_c_Keq;AK_c_KmADP;AK_c_KmAMP;AK_c_KmATP;AK_c_Vmax;AK_c_k1;AK_c_k2;AK_g_Keq;AK_g_KmADP;AK_g_KmAMP;AK_g_KmATP;AK_g_Vmax;AK_g_k1;AK_g_k2;ALD_g_Keq;ALD_g_KiADP;ALD_g_KiAMP;ALD_g_KiATP;ALD_g_KiGA3P;ALD_g_KmDHAP;ALD_g_KmFru16BP;ALD_g_KmGA3P;ALD_g_Vmax;ATPu_c_k;ENO_c_Keq;ENO_c_Km2PGA;ENO_c_KmPEP;ENO_c_Vmax;FruT_c_KmFru;FruT_c_Vmax;FruT_c_alpha;FruT_g_k1;FruT_g_k2;G3PDH_g_Keq;G3PDH_g_KmDHAP;G3PDH_g_KmGly3P;G3PDH_g_KmNAD;G3PDH_g_KmNADH;G3PDH_g_Vmax;G6PDH_c_Keq;G6PDH_c_Km6PGL;G6PDH_c_KmGlc6P;G6PDH_c_KmNADP;G6PDH_c_KmNADPH;G6PDH_c_Vmax;G6PDH_g_Keq;G6PDH_g_Km6PGL;G6PDH_g_KmGlc6P;G6PDH_g_KmNADP;G6PDH_g_KmNADPH;G6PDH_g_Vmax;G6Pbb_c_Vmax;G6Pbb_c_KmGlc6P;GAPDH_g_Keq;GAPDH_g_Km13BPGA;GAPDH_g_KmGA3P;GAPDH_g_KmNAD;GAPDH_g_KmNADH;GAPDH_g_KmPi;GAPDH_g_Vmax;GAPDH_g_Vrmax;GDA_g_k;GK_g_Keq;GK_g_KmADP;GK_g_KmATP;GK_g_KmGly;GK_g_KmGly3P;GK_g_Vmax;GPO_c_KmGly3P;GPO_c_Vmax;GlcT_c_KmGlc;GlcT_c_Vmax;GlcT_c_alpha;GlcT_g_k;HXK_c_Keq;HXK_c_KmADP;HXK_c_KmATP;HXK_c_KmGlc;HXK_c_KmGlc6P;HXK_c_Vmax;HXK_c_Vmaxpc;HXK_c_KiFru;HXK_c_KiFru6P;HXK_g_Keq;HXK_g_KmADP;HXK_g_KmATP;HXK_g_KmGlc;HXK_g_KmGlc6P;HXK_g_Vmax;HXK_g_KiFru;HXK_g_KiFru6P;HXKfru_c_Keq;HXKfru_c_KiGlc;HXKfru_c_KiGlc6P;HXKfru_c_KmADP;HXKfru_c_KmATP;HXKfru_c_KmFru;HXKfru_c_KmFru6P;HXKfru_c_Vmax;HXKfru_c_Vmaxpc;HXKfru_g_Keq;HXKfru_g_KiGlc;HXKfru_g_KiGlc6P;HXKfru_g_KmADP;HXKfru_g_KmATP;HXKfru_g_KmFru;HXKfru_g_KmFru6P;HXKfru_g_Vmax;PFK_g_Keq;PFK_g_Ki1;PFK_g_Ki2;PFK_g_KmADP;PFK_g_KmATP;PFK_g_KmFru6P;PFK_g_KsATP;PFK_g_Vmax;PGAM_c_Keq;PGAM_c_Km2PGA;PGAM_c_Km3PGA;PGAM_c_Vmax;PGI_g_Keq;PGI_g_Ki6PG;PGI_g_KmFru6P;PGI_g_KmGlc6P;PGI_g_Vmax;PGI_g_Vrmax;PGK_g_Keq;PGK_g_Km13BPGA;PGK_g_Km3PGA;PGK_g_KmADP;PGK_g_KmATP;PGK_g_Vmax;PGK_g_Vrmax;PGL_c_Keq;PGL_c_Km6PG;PGL_c_Km6PGL;PGL_c_Vmax;PGL_c_k;PGL_g_Keq;PGL_g_Km6PG;PGL_g_Km6PGL;PGL_g_Vmax;PGL_g_k;PPI_c_Keq;PPI_c_KmRib5P;PPI_c_KmRul5P;PPI_c_Vmax;PPI_g_Keq;PPI_g_KmRib5P;PPI_g_KmRul5P;PPI_g_Vmax;PYK_c_Keq;PYK_c_KiADP;PYK_c_KiATP;PYK_c_KmADP;PYK_c_KmATP;PYK_c_KmPEP;PYK_c_KmPyr;PYK_c_Vmax;PYK_c_n;PyrT_c_KmPyr;PyrT_c_Vmax;RK_g_Keq;RK_g_KmADP;RK_g_KmATP;RK_g_KmRib;RK_g_KmRib5P;RK_g_Vmax;RK_g_Vrmax;TPI_g_Keq;TPI_g_KmDHAP;TPI_g_KmGA3P;TPI_g_Vmax;TPI_g_Vrmax;TR_c_Keq;TR_c_KmNADP;TR_c_KmNADPH;TR_c_KmTS2;TR_c_KmTSH2;TR_c_Vmax;_6PGDH_c_Keq;_6PGDH_c_Km6PG;_6PGDH_c_KmNADP;_6PGDH_c_KmNADPH;_6PGDH_c_KmRul5P;_6PGDH_c_Vmax;_6PGDH_g_Keq;_6PGDH_g_Km6PG;_6PGDH_g_KmNADP;_6PGDH_g_KmNADPH;_6PGDH_g_KmRul5P;_6PGDH_g_Vmax;GAPDH_g_inhib
0.484547;0.121479;2.67688;0.108774;1167.03;8016.14;16543.6;0.454969;0.271674;2.53307;0.124465;11.0836;27.664;60.8042;0.0824671;1.15035;2.94305;0.579093;0.119943;0.0144157;0.00955685;0.0600738;500.363;60.9243;4.1707;0.0581609;0.213512;692.409;2.32105;62.4807;0.857502;315586;243150;17241.8;0.0979696;1.88064;0.447495;0.0106125;456.27;11.2718;0.0439035;0.0571356;0.00948005;0.000121387;8.36322;4.66289;0.0468745;0.056866;0.00946134;0.00011366;8.36322;62.5479;0.747182;0.0794978;0.0934602;0.159704;0.414748;0.0206608;0.743608;1153.61;427.311;1570.66;0.000834377;0.560099;0.222276;0.4201;2.99399;211.409;1.68376;364.23;1.09283;81.2417;0.677238;718856;784.656;0.135503;0.149519;0.0974864;11.7863;117.512;0.061129;0.247593;11.4315;815.334;0.119494;0.117862;0.104074;10.1185;1804.85;0.428334;9.53311;626.714;0.117929;14.0663;0.0583485;0.130223;0.377388;10.4459;3.28614;0.0294085;716.542;0.0835272;9.35531;0.0767369;0.0893033;0.334966;9.2113;1787.99;1062.01;18.2765;11.1133;0.955294;0.0716612;1.12868;0.0386569;1350.06;0.175169;0.133451;0.138175;214.845;0.479076;0.131553;0.119675;0.37477;1944.53;1309.22;3406.32;0.00136435;2.01008;0.014567;0.20019;2205.99;1438.77;16914;0.227284;0.046917;28.608;0.0562395;18459.8;0.025049;0.0443653;5.04847;0.0511047;4.72054;3.75981;1.10653;69.4076;4.4628;4.5506;1.73966;69.4076;12153.2;0.719237;0.454966;0.10935;12.5849;0.284973;59.9312;1185.83;2.37388;1.9499;255.27;0.00996705;0.243957;0.206486;0.519308;0.401637;10.0002;1098.01;0.04915;1.27397;0.295549;1172.33;5533.45;455.014;0.290537;0.000757161;0.00695458;0.00526602;239.924;46.3558;0.00266848;0.00100356;0.00066497;0.025859;13.8809;58.7146;0.00317815;0.00120956;0.000494009;0.0285488;13.8809;2.6815
0.490422;0.0631661;2.21277;0.263835;223.897;10418;21242.9;0.495237;0.0367385;5.58687;0.198831;0.614242;69.4867;140.31;0.0675241;2.23463;4.76857;0.663456;0.114864;0.015063;0.00921513;0.0697147;774.153;47.7991;5.63121;0.0439231;0.23976;576.621;4.25106;60.1295;0.276164;329518;193647;18726;0.0824524;1.84447;0.403391;0.00912147;417.307;7.097;0.0449748;0.0578826;0.00897385;9.44E-05;10.5636;5.4372;0.0380135;0.0590808;0.00955441;9.40E-05;10.5636;82.577;6.5666;0.109223;0.171114;0.128137;0.577358;0.0203647;2.34639;903.693;393.656;677.657;0.000884986;0.550981;0.313476;0.475752;3.80504;204.5;1.74056;370.649;1.18211;114.548;0.845126;65262.7;849.822;0.109218;0.132429;0.0995268;9.8772;21.7898;0.0108414;0.375912;9.2814;767.497;0.0898478;0.108831;0.0981553;15.094;1988.08;0.212709;6.83505;363.572;0.0888016;13.6015;0.11666;0.0986328;0.708232;9.89662;1.08125;0.0530605;403.171;0.0970875;8.44921;0.23254;0.068293;0.396255;16.1611;1782.39;930.436;14.6653;13.981;0.606299;0.049752;1.11302;0.0324836;1858.69;0.150644;0.208029;0.146088;200.465;0.512181;0.20515;0.128016;0.367245;2024.08;1391.49;3411.94;0.00150802;2.26855;0.0166257;0.24951;3578.26;1491.77;16450.7;0.0242544;0.04483;26.8727;0.0574654;17830.7;0.139517;0.0470661;4.74224;0.0565192;5.35696;3.65687;1.29246;93.3228;5.78625;3.68219;1.39605;93.3228;12936.5;0.722834;0.658541;0.119746;15.3035;0.346869;74.2961;970.075;2.49055;1.91322;223.749;0.013193;0.213976;0.227038;0.456081;0.354731;12.2343;1265.06;0.0477235;1.16239;0.264751;1149.3;5485.13;374.655;0.424312;0.000745507;0.0089833;0.00127617;277.408;69.1251;0.00320539;0.000942396;0.000465506;0.0309726;14.3797;51.6504;0.00389633;0.00093073;0.000569661;0.0377518;14.3797;2.67861
0.474185;0.491478;37.5511;0.411076;11.3407;3352.13;7069.24;0.50167;0.0324509;2.3304;0.0853259;25.1384;116.342;231.909;0.0731991;1.61299;5.27542;0.530457;0.0781009;0.013694;0.00975368;0.0599864;787.004;46.7125;4.41658;0.0471006;0.272601;622.364;4.18305;78.5648;0.727506;221318;301527;16033;0.0972669;2.60805;0.433364;0.010623;517.164;7.39387;0.0406328;0.057579;0.00903504;0.000105298;8.62048;18.831;0.0376711;0.0558015;0.0101537;8.82E-05;8.62048;15.2872;1.35019;0.0503876;0.122514;0.167474;0.508678;0.0171045;1.41525;967.034;476.859;217.258;0.000832333;0.55634;0.20183;0.45834;3.52721;230.068;1.6793;368.729;1.11221;153.521;0.745325;1.11E+06;910.487;0.129383;0.104368;0.0919784;14.9059;69.1888;0.0328056;0.187985;4.20706;539.808;0.119029;0.108361;0.108763;13.2136;2039.86;0.846624;10.4275;397.271;0.102553;9.31065;0.124594;0.111227;0.345059;8.47691;0.608023;0.084518;830.727;0.10788;15.2902;0.123327;0.138841;0.95363;8.30971;2898.24;1385.85;13.9299;9.7892;0.937772;0.0514378;0.979622;0.0391983;2164.46;0.180497;0.177878;0.151735;194.561;0.617633;0.139312;0.114869;0.423031;3598.07;1597.85;3378.06;0.00129261;2.29283;1.27794;0.24892;2245.54;1438.83;24375.5;0.0165842;0.0457433;27.5776;0.0459464;15803;0.0318667;0.0596834;4.86664;0.0541074;4.06257;5.28893;1.46377;87.4405;6.62738;3.55148;1.41798;87.4405;9600.52;0.36541;0.55941;0.11101;13.9223;0.33372;34.3054;801.775;2.60724;2.08642;244.473;0.0109321;0.205461;0.257993;0.432008;0.397206;6.92973;865.698;0.0463045;1.09433;0.277567;1119.07;6129.94;334.515;0.057867;0.000761161;0.00635303;0.000795038;298.669;45.5636;0.00327038;0.000987824;0.000762479;0.0321761;9.67914;36.7173;0.00320236;0.00105944;0.000606999;0.0290458;9.67914;3.39469
0.480149;0.471774;1.14915;1.70421;31.6571;1580.26;3291.18;0.497592;0.0630862;16.0775;0.0499713;4254.95;451.367;907.103;0.0534152;1.55505;3.4227;0.663702;0.0637909;0.013992;0.00947794;0.0655861;528.024;53.1496;4.12602;0.0567457;0.267716;595.449;4.75599;69.532;0.88041;277051;457433;17137.9;0.0919719;2.11392;0.417037;0.00903283;428.542;4.78454;0.0411426;0.0575852;0.00962342;9.73E-05;7.94489;2.60023;0.0416424;0.0589188;0.00976017;0.000105162;7.94489;17.0229;4.72223;0.0663293;0.0639921;0.165237;0.517625;0.0199258;0.646732;2048.62;465.093;2232.98;0.000857318;0.566182;0.279118;0.412221;4.09122;231.868;1.73492;367.144;1.18437;106.316;0.794391;185381;1041.38;0.107749;0.0892921;0.0910816;12.395;132.973;0.0727434;0.659034;9.97522;804.817;0.134615;0.0988901;0.0934461;8.93607;1695.01;0.598462;19.505;990.071;0.0351526;8.14111;0.120052;0.0989996;0.489921;19.2602;0.922871;0.0283988;463.183;0.230515;9.51291;0.125239;0.149852;0.49129;14.9098;1678.16;1221.07;15.9597;10.6458;2.02715;0.062859;0.929681;0.0375827;1934.94;0.173112;0.135076;0.162788;234.203;0.453059;0.165736;0.115948;0.326355;1531;1212.7;3405.97;0.00190092;1.10383;0.10057;0.262443;3084.11;1292;18321.1;0.0194455;0.0456998;24.3193;0.0542899;22114.6;0.0723235;0.0436256;4.29163;0.0526586;4.61742;3.5353;1.65849;60.5742;5.40472;4.01997;1.16423;60.5742;10149.7;0.617278;0.568071;0.12003;16.1167;0.28117;74.1532;1286.55;2.69608;1.63017;246.347;0.0120311;0.262812;0.201515;0.455835;0.388125;20.2522;1515.87;0.0448783;1.22867;0.246065;1249.67;5576.66;607.414;0.145219;0.000748051;0.00754673;0.000799177;213.829;42.0044;0.00331966;0.00129546;0.000552751;0.0313622;9.08835;47.209;0.00302847;0.000825082;0.000601363;0.039959;9.08835;3.04551
0.490697;0.100624;3.64763;0.0147816;1403.46;5.21498;10.6277;0.513382;1.30587;7.34352;0.112115;0.702286;537.821;1047.6;0.0700564;1.75192;3.68702;0.903204;0.0914747;0.0175363;0.00904612;0.0674175;523.395;59.7368;3.83478;0.0531644;0.236311;586.029;2.514;68.3135;0.837758;269645;353321;16058.9;0.0764423;1.96809;0.278309;0.00825495;472.975;3.00847;0.0484009;0.0580305;0.00957063;0.000114111;7.71968;5.17114;0.0487849;0.0592192;0.00926526;0.00010195;7.71968;86.1466;9.15387;0.0759409;0.0448818;0.165761;0.434692;0.0186991;2.28664;2243.78;347.612;333.76;0.000858552;0.557029;0.183283;0.454201;3.76227;171.288;1.7196;376.407;1.09524;106.088;0.912311;64034.6;738.466;0.104606;0.114046;0.149659;9.19263;69.7966;0.035834;0.263472;15.0646;817.442;0.121675;0.124664;0.0789212;8.82679;1877.98;0.295893;7.44961;792.194;0.0981268;14.7404;0.178451;0.115344;0.253804;14.3442;1.15261;0.0928615;875.018;0.0745788;8.01004;0.17248;0.0935108;0.309116;15.2326;2259.25;1123.57;16.6364;12.7489;0.332761;0.0539688;0.900502;0.0373435;1868.95;0.167925;0.153028;0.152379;250.201;0.443691;0.150223;0.110265;0.425899;2440.99;1438.73;3343.48;0.00115743;1.57688;0.0546129;0.353478;2525.04;1335.51;19887.2;0.00969908;0.0547956;28.9827;0.0531367;17004.7;0.12002;0.051635;5.1146;0.0564757;5.63004;4.82607;1.51016;62.0115;5.50623;3.64837;1.7424;62.0115;12361.2;0.519145;0.757992;0.120564;15.2024;0.422651;84.8231;1120.91;2.44033;1.97567;228.606;0.0140301;0.307435;0.230639;0.441938;0.39425;29.032;1740.14;0.0424742;1.20562;0.23958;1098.35;5138.73;472.061;0.0348573;0.000774956;0.00901397;0.000815532;263.431;57.2629;0.00305547;0.000909828;0.000720222;0.0283398;11.0337;40.18;0.0033984;0.000854539;0.000683546;0.0335492;11.0337;2.63819
0.476451;0.242858;4.47632;0.12191;7.9023;63.9583;134.239;0.485446;0.119252;2.48529;0.0220404;20.5184;1687.74;3476.68;0.0950293;1.51982;3.6677;0.581147;0.125175;0.0174586;0.00944359;0.0686908;641.664;27.739;4.28629;0.0766627;0.199505;597.5;4.9532;69.4857;0.744068;191932;229211;21604.1;0.109239;1.69586;0.354787;0.00982656;459.731;2.14661;0.0403557;0.0590638;0.00910013;9.86E-05;8.43637;3.17369;0.0459128;0.0586733;0.00939229;9.85E-05;8.43637;15.895;0.746097;0.0546677;0.060086;0.177554;0.46458;0.0225614;7.50308;1597.19;484.997;927.976;0.000904284;0.568476;0.224639;0.437755;3.2903;202.789;1.77211;381.417;1.13385;120.808;0.567227;21346.3;592.105;0.119673;0.102935;0.0851948;10.5955;66.7263;0.0326083;0.806396;14.2569;805.362;0.12901;0.136882;0.0828166;12.7012;1979.57;0.23558;8.1368;1256.6;0.0925727;12.5301;0.0918604;0.121612;0.619888;12.8152;1.33529;0.0507946;595.44;0.0889074;9.59322;0.295393;0.230981;0.368582;5.39847;1737.46;908.482;11.7537;9.50978;0.691914;0.0477823;1.10259;0.037674;1483.48;0.15837;0.171773;0.157935;267.874;0.458073;0.122902;0.128706;0.401135;2059.59;1457.2;3395.55;0.0133392;1.75277;0.0966249;0.309643;3852.65;1004.99;25210.1;0.533605;0.051168;33.4453;0.0555346;20981.5;0.556807;0.0495941;5.90212;0.0499139;4.35275;5.11568;1.4269;72.9647;4.90057;3.40034;1.21733;72.9647;10346.4;0.568696;0.581148;0.124942;15.4032;0.412048;61.1534;683.933;2.48101;2.15145;281.748;0.0130025;0.192867;0.215374;0.518045;0.456879;13.683;1332.47;0.0441745;1.17786;0.325126;1016.63;6352.55;452.256;0.0589505;0.0007877;0.00692071;0.000265284;319.398;56.8902;0.00367404;0.00116335;0.000521485;0.0304876;9.94644;53.0957;0.00342656;0.00117748;0.000674678;0.0307159;9.94644;2.89542
0.507845;0.265386;0.83651;0.386252;152.59;1053.13;2073.73;0.499747;0.0642454;5.50198;1.18726;1.85234;65.037;130.14;0.0794629;1.25402;3.50397;0.881085;0.0882905;0.0169072;0.00942954;0.0600655;447.67;66.6304;4.4879;0.0618265;0.246975;678.924;2.93358;72.4257;0.901213;308144;570838;17691.6;0.10687;1.82091;0.499729;0.010568;431.022;2.50658;0.0320754;0.0560618;0.00942177;9.82E-05;12.4137;5.71171;0.041173;0.0566093;0.00914333;0.000131617;12.4137;34.6145;9.73013;0.0581696;0.11191;0.125738;0.505127;0.027497;9.8;504.969;424.831;2698.65;0.000812722;0.565886;0.393493;0.502012;3.90469;177.04;1.71954;377.321;1.00683;123.904;0.686238;6604.56;654.896;0.164864;0.135872;0.0870911;9.5357;118.52;0.0624196;0.338538;7.53029;716.063;0.110646;0.119711;0.100925;12.009;1780.24;0.677443;6.95727;614.108;0.0599934;5.0982;0.265646;0.0877355;0.233108;11.5326;1.67135;0.099075;451.078;0.0894245;7.16003;0.0764842;0.166899;0.294553;33.2682;3947.46;1176.4;22.4891;8.21179;35.7931;0.080023;0.992747;0.0527449;1930.25;0.16339;0.161558;0.170899;193.944;0.427711;0.121704;0.114713;0.325381;1624.72;1352.73;3390.05;0.00255101;2.07627;0.0237963;0.222514;2333.47;1450.5;25525.4;0.00362475;0.042413;25.7239;0.0532021;16098.1;0.115575;0.0464216;4.53951;0.0584298;4.90609;3.4023;1.42223;71.368;6.03658;2.85908;1.17191;71.368;10419.3;0.751394;0.644881;0.107872;14.3608;0.421044;37.6888;953.26;2.46512;2.07656;259.761;0.0118299;0.298556;0.260903;0.599807;0.401686;6.49575;716.519;0.0486539;1.21523;0.244516;1361.6;5630.92;470.965;1.04495;0.000779688;0.00694027;0.00274543;295.046;63.6247;0.00352979;0.00103931;0.000715823;0.0257223;11.2307;50.1066;0.00335722;0.0011138;0.000576006;0.027884;11.2307;2.8433
0.469376;0.0621623;8.40392;1.06391;153.294;15819.9;33704.2;0.463474;0.285086;3.46287;0.61909;23.5814;242.211;522.599;0.0979988;1.2084;4.26064;0.648239;0.106951;0.016464;0.0101178;0.0839995;349.018;66.2271;4.52276;0.0771254;0.292332;610.422;3.55592;65.4143;0.640226;276573;295085;15734.4;0.122285;1.70256;0.416218;0.0137868;456.341;7.60827;0.046949;0.0578069;0.00963426;9.78E-05;9.70795;17.5139;0.0390085;0.0568784;0.00966836;0.000100034;9.70795;20.9378;0.441207;0.0623253;0.142722;0.147095;0.402895;0.0234364;2.45896;554.718;507.418;1348.68;0.000813946;0.541376;0.203918;0.486406;4.37471;208.799;1.65439;374.669;1.10672;108.73;0.652681;7.83E+06;874.379;0.108669;0.122937;0.118082;11.7447;154.904;0.0807775;0.286165;5.14244;544.872;0.128281;0.123971;0.0915289;8.7888;1762.75;0.321913;8.44577;384.381;0.322577;12.4494;0.0846497;0.100168;0.191056;12.8655;1.25151;0.0185687;1044.42;0.129289;24.8738;0.202033;0.0327181;0.206674;6.37293;2037.31;1047.24;17.4847;11.0376;0.729603;0.0711401;0.939794;0.0444501;1598.62;0.163462;0.161393;0.152065;201.075;0.458078;0.144334;0.122507;0.382891;1842.32;1299.79;3196.13;0.00139863;1.86564;0.109601;0.494564;3380.82;1408.01;19525.4;0.081084;0.0525546;29.9027;0.0506298;19320;0.0344327;0.0415168;5.27695;0.0578533;5.48406;3.8599;1.38196;71.9717;5.70041;4.30098;1.50371;71.9717;14390;0.685658;0.475851;0.0986525;12.2377;0.358039;64.743;1280.8;2.54912;1.87121;212.406;0.00969985;0.281463;0.161838;0.450598;0.330646;14.7829;1194.21;0.0452973;1.2238;0.233984;1388.01;5858.64;545.427;0.383653;0.000768703;0.00681523;0.00447555;315.604;49.3615;0.00402435;0.00103509;0.000703998;0.0349279;9.87521;59.0228;0.00312719;0.000820609;0.000807156;0.0312518;9.87521;3.06955
0.474946;0.049781;0.228177;0.11369;660.829;7.69156;16.1946;0.500307;0.136078;4.60451;0.576288;19.5802;1270.43;2539.3;0.0901658;1.68765;4.37165;0.691197;0.105286;0.0149831;0.00838713;0.0687012;477.345;34.1997;4.81999;0.0445901;0.23017;604.805;2.63445;64.3963;0.792872;284456;267883;15544.5;0.107459;1.61446;0.358742;0.0117096;440;4.47567;0.0309124;0.056568;0.00954949;7.33E-05;8.73791;12.2438;0.0399509;0.058536;0.00932307;0.000105768;8.73791;25.2848;2.40346;0.0772889;0.12189;0.162838;0.413779;0.0169893;0.433454;1057.57;424.794;250.107;0.000880632;0.560802;0.338075;0.457772;4.27626;287.767;1.69533;358.915;1.05267;93.9415;0.819118;104413;828.52;0.128361;0.12845;0.0955366;14.0303;60.5465;0.0334945;0.414967;13.2496;674.023;0.136349;0.0992237;0.0910911;15.1126;1747.11;0.728601;26.7045;376.604;0.13368;10.7504;0.139887;0.101109;0.793023;9.26539;0.728272;0.0227659;617.174;0.137983;10.6221;0.13673;0.0888354;0.378988;13.0657;1004.63;721.266;12.2761;5.96974;0.520211;0.0600234;1.1263;0.0324758;1630.59;0.166634;0.158743;0.132722;292.553;0.461116;0.129611;0.126365;0.372773;1658.56;1231.59;3436.35;0.00233755;1.35036;0.54623;0.21297;2871.9;1000.31;25259.2;0.00779886;0.0422805;25.1337;0.0523968;13053.4;0.0405093;0.0437923;4.43537;0.0546702;5.90187;3.46978;1.45943;74.5197;5.10808;4.33311;1.50426;74.5197;9953.87;0.769178;0.687024;0.100885;16.6237;0.298854;22.5233;1132.37;2.30611;1.82098;218.393;0.010637;0.268385;0.222532;0.470068;0.407776;7.1749;644.717;0.0457674;1.15678;0.313428;943.955;5588.35;494.569;0.578481;0.000761717;0.00715535;0.00228712;213.656;38.1569;0.00307485;0.000823856;0.000549352;0.0285922;11.7769;49.6543;0.00413114;0.00128409;0.00056193;0.0286228;11.7769;2.38107
0.512714;0.100712;4.75162;0.469597;477.285;196.567;383.385;0.452267;0.185049;4.60154;0.513361;2638.52;43454.7;96081.8;0.0819308;1.87676;3.1313;0.622986;0.112811;0.0173863;0.00942035;0.0696177;711.313;60.2032;3.55687;0.0501624;0.236701;634.031;3.92632;75.0538;0.629364;232780;298019;17622.3;0.0888331;2.94146;0.283209;0.0120667;438.411;5.60778;0.0387893;0.058452;0.00974805;0.000112392;9.43715;4.62092;0.0446652;0.0577537;0.00920734;8.62E-05;9.43715;69.889;8.45027;0.104753;0.116235;0.158952;0.432374;0.0208991;0.487482;1514.47;516.178;202.29;0.000803358;0.559236;0.334912;0.426623;3.70863;182.642;1.71792;374.187;0.999423;105.451;0.883559;85264;852.566;0.126528;0.14291;0.101925;11.8714;203.197;0.0990168;0.215198;17.3291;705.89;0.129541;0.111354;0.10783;14.6018;1848.95;0.313923;10.2694;510.57;0.0579164;19.5106;0.185448;0.108461;0.245463;13.5381;0.806936;0.0898822;805.521;0.100278;15.9138;0.130153;0.0536149;0.417534;22.1214;1164.03;990.865;14.0053;11.8425;0.724433;0.0548017;1.07012;0.0411558;1374.45;0.171116;0.15161;0.138152;202.073;0.479454;0.107851;0.121871;0.445119;2544.99;1468.01;3327.47;0.0031563;1.53062;0.0199036;0.424113;2892.71;1262.94;18856;1.0989;0.0471788;22.496;0.0550333;16864.5;0.0516196;0.0615142;3.96988;0.0526918;6.1911;3.17085;1.21865;71.8084;4.77218;3.2201;1.36335;71.8084;9955.23;0.501043;0.43057;0.115098;14.5515;0.258843;63.685;777.891;2.73715;2.03986;259.521;0.0132458;0.239483;0.226255;0.499434;0.436402;5.18274;423.055;0.0486135;1.18268;0.257059;1359.96;6080.44;450.974;0.041891;0.0007706;0.00658079;0.0155539;314.209;40.2803;0.00341263;0.000910727;0.000581143;0.0272895;13.0825;41.9121;0.00327598;0.00100925;0.000530268;0.0384669;13.0825;2.77382
