Entity,Qualifier,Preferred Ontologies,Value,Comment
model,hasTaxon,Taxonomy,http://identifiers.org/taxonomy/9606,Homo Sapiens
model,occursIn,BTO (BRENDA Tissue Ontology),http://purl.obolibrary.org/obo/BTO_0000848,Melanoma Cell
model,occursIn,BTO (BRENDA Tissue Ontology),http://purl.obolibrary.org/obo/BTO_0002058,NSCLC Cell
model,occursIn,BTO (BRENDA Tissue Ontology),http://purl.obolibrary.org/obo/BTO_0001286,Skin Cancer Cell
model,occursIn,BTO (BRENDA Tissue Ontology),http://purl.obolibrary.org/obo/BTO_0000680,Kidney Cancer Cell
model,occursIn,BTO (BRENDA Tissue Ontology),http://purl.obolibrary.org/obo/BTO_0003192,Renal Cancer Cell Line
model,occursIn,BTO (BRENDA Tissue Ontology),http://purl.obolibrary.org/obo/BTO_0000123,Bladder
model,occursIn,BTO (BRENDA Tissue Ontology),http://purl.obolibrary.org/obo/BTO_0005838,head and neck cancer cell
model,occursIn,BTO (BRENDA Tissue Ontology),http://purl.obolibrary.org/obo/BTO_0001207,Sarcoma Cell
model,occursIn,BTO (BRENDA Tissue Ontology),http://purl.obolibrary.org/obo/BTO_0003871,uterine endometrial cancer cell
model,occursIn,BTO (BRENDA Tissue Ontology),http://purl.obolibrary.org/obo/BTO_0000498,gastric cancer cell
model,occursIn,BTO (BRENDA Tissue Ontology),http://purl.obolibrary.org/obo/BTO_0003897,hepatobiliary carcinoma cell
model,occursIn,BTO (BRENDA Tissue Ontology),http://purl.obolibrary.org/obo/BTO_0000189,small cell lung cancer cell
model,occursIn,BTO (BRENDA Tissue Ontology),http://purl.obolibrary.org/obo/BTO_0001615,colorectal cancer cell
model,occursIn,BTO (BRENDA Tissue Ontology),http://purl.obolibrary.org/obo/BTO_0001577,esophageal cancer cell
model,occursIn,BTO (BRENDA Tissue Ontology),http://purl.obolibrary.org/obo/BTO_0000584,pancreatic cancer cell
model,occursIn,BTO (BRENDA Tissue Ontology),http://purl.obolibrary.org/obo/BTO_0002423,mesothelioma cell
model,occursIn,BTO (BRENDA Tissue Ontology),http://purl.obolibrary.org/obo/BTO_0001023,ovary cancer cell
model,occursIn,BTO (BRENDA Tissue Ontology),http://purl.obolibrary.org/obo/BTO_0000811,ovary cancer cell line
model,occursIn,BTO (BRENDA Tissue Ontology),http://purl.obolibrary.org/obo/BTO_0000150,breast cancer cell
model,occursIn,BTO (BRENDA Tissue Ontology),http://purl.obolibrary.org/obo/BTO_0000356,breast cancer cell line
model,hasProperty,OGG: Ontology of Genes and Genomes,http://purl.obolibrary.org/obo/OGG_3000001493,CTLA4 (cytotoxic T-lymphocyte-associated protein 4)
model,hasProperty,Experimental Factor Ontology (EFO),http://www.ebi.ac.uk/efo/EFO_0010793,programmed death-ligand 1 measurement (PDL1)
model,hasProperty,CLO: Cell Line Ontology,http://purl.obolibrary.org/obo/CLO_0008407,PDL-1 Cell
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C156893,PD-1 Ligand Inhibitor
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C15262,Immunotherapy
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C131060,Checkpoint Blockade Immunotherapy
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C143250,Immune Checkpoint Inhibitor
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C15438,Cancer Immunotherapy
model,hasProperty,OBI: Ontology for Biomedical Investigations ,http://purl.obolibrary.org/obo/OBI_0002587,machine learning
model,hasProperty,OBI: Ontology for Biomedical Investigations ,http://purl.obolibrary.org/obo/OBI_0002588,supervised machine learning
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C150128,Tumor Mutation Burden (TMB)
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C45825,Heterozygosity
model,hasProperty,Experimental Factor Ontology (EFO),http://www.ebi.ac.uk/efo/EFO_0004340,body mass index (BMI)
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C141271,Neutrophil to Lymphocyte Ratio Measurement (NLR)
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C36318,Microsatellite Instability (MSI)
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C15632,Chemotherapy
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C214,Albumin
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C12520,Platelet
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C16676,Hemoglobin
model,hasProperty,Experimental Factor Ontology (EFO),http://www.ebi.ac.uk/efo/EFO_0004925,tumor stage
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C16629,Genome
